ID,RM,RAD,TAX,PRICE
1.0,7.147,3.0,222.0,31.0
2.0,6.43,3.0,222.0,26.0
3.0,6.0120000000000005,5.0,311.0,17.0
4.0,6.172000000000001,5.0,311.0,18.0
5.0,5.631,5.0,311.0,14.0
6.0,6.142,4.0,307.0,18.0
7.0,5.813,4.0,307.0,16.0
8.0,5.9239999999999995,4.0,307.0,17.0
9.0,5.599,4.0,307.0,14.0
10.0,5.813,4.0,307.0,16.0
11.0,6.595,3.0,252.0,25.0
12.0,7.024,3.0,252.0,29.0
13.0,6.77,3.0,233.0,28.0
14.0,6.169,3.0,233.0,23.0
15.0,6.7620000000000005,8.0,284.0,26.0
16.0,7.104,3.0,216.0,32.0
17.0,6.29,4.0,337.0,18.0
18.0,6.245,4.0,305.0,20.0
19.0,6.273,5.0,398.0,14.0
20.0,6.2860000000000005,5.0,398.0,14.0
21.0,7.412000000000001,8.0,307.0,30.0
22.0,8.337,8.0,307.0,37.0
23.0,8.247,8.0,307.0,36.0
24.0,6.726,8.0,307.0,24.0
25.0,6.086,8.0,307.0,19.0
26.0,7.013999999999999,5.0,264.0,29.0
27.0,8.297,5.0,264.0,39.0
28.0,7.47,5.0,264.0,32.0
29.0,5.92,3.0,223.0,22.0
30.0,5.856,3.0,223.0,22.0
31.0,6.871,5.0,358.0,22.0
32.0,6.59,7.0,329.0,22.0
33.0,6.495,7.0,329.0,21.0
34.0,6.982,7.0,329.0,25.0
35.0,7.236000000000001,7.0,222.0,34.0
36.0,5.914,4.0,304.0,18.0
37.0,5.782,4.0,304.0,16.0
38.0,6.382000000000001,4.0,304.0,21.0
39.0,6.1129999999999995,4.0,304.0,19.0
40.0,6.426,5.0,287.0,23.0
41.0,6.332999999999999,4.0,430.0,13.0
42.0,6.144,4.0,430.0,12.0
43.0,5.706,1.0,304.0,16.0
44.0,6.031000000000001,1.0,304.0,18.0
45.0,6.316,5.0,224.0,26.0
46.0,6.31,5.0,224.0,26.0
47.0,6.037000000000001,5.0,224.0,24.0
48.0,5.569,6.0,391.0,10.0
49.0,6.027,6.0,391.0,14.0
50.0,6.593,1.0,273.0,25.0
